Subset;Assembly;TP;FP;FN;Precision;Sensitivity;Method;Tool;Dataset;Evaluator
Sub1k;isONclust2;43;5;117;0.895833333333333;0.26875;Ab initio;isONclust2;LSK114_sequins;SQANTI3
Sub1k;isoQuant;52;0;108;1;0.325;Guided;isoQuant;LSK114_sequins;SQANTI3
Sub1k;isoQuant-noRef;25;2;135;0.925925925925926;0.15625;De novo;isoQuant;LSK114_sequins;SQANTI3
Sub1k;Stringtie2;49;4;111;0.924528301886792;0.30625;Guided;Stringtie2;LSK114_sequins;SQANTI3
Sub1k;Stringtie2-noRef;34;9;126;0.790697674418605;0.2125;De novo;Stringtie2;LSK114_sequins;SQANTI3
Sub1M;Bambu;160;9;0;0.946745562130177;1;Guided;Bambu;LSK114_sequins;SQANTI3
Sub1M;Bambu-noRef;83;54;77;0.605839416058394;0.51875;De novo;Bambu;LSK114_sequins;SQANTI3
Sub1M;Control;129;384303;31;0.000335559995005619;0.80625;RawReads;RawReads;LSK114_sequins;SQANTI3
Sub1M;isONclust;110;206;50;0.348101265822785;0.6875;Ab initio;isONclust;LSK114_sequins;SQANTI3
Sub1M;isONclust2;96;28;64;0.774193548387097;0.6;Ab initio;isONclust2;LSK114_sequins;SQANTI3
Sub1M;isoQuant;137;8;23;0.944827586206897;0.85625;Guided;isoQuant;LSK114_sequins;SQANTI3
Sub1M;isoQuant-noRef;89;33;71;0.729508196721312;0.55625;De novo;isoQuant;LSK114_sequins;SQANTI3
Sub1M;Stringtie2;132;20;28;0.868421052631579;0.825;Guided;Stringtie2;LSK114_sequins;SQANTI3
Sub1M;Stringtie2-noRef;102;76;58;0.573033707865168;0.6375;De novo;Stringtie2;LSK114_sequins;SQANTI3
Sub250k;Bambu;160;7;0;0.958083832335329;1;Guided;Bambu;LSK114_sequins;SQANTI3
Sub250k;Bambu-noRef;78;36;82;0.684210526315789;0.4875;De novo;Bambu;LSK114_sequins;SQANTI3
Sub250k;Control;117;95993;43;0.00121735511393195;0.73125;RawReads;RawReads;LSK114_sequins;SQANTI3
Sub250k;isONclust;95;108;65;0.467980295566502;0.59375;Ab initio;isONclust;LSK114_sequins;SQANTI3
Sub250k;isONclust2;80;27;80;0.747663551401869;0.5;Ab initio;isONclust2;LSK114_sequins;SQANTI3
Sub250k;isoQuant;124;2;36;0.984126984126984;0.775;Guided;isoQuant;LSK114_sequins;SQANTI3
Sub250k;isoQuant-noRef;74;16;86;0.822222222222222;0.4625;De novo;isoQuant;LSK114_sequins;SQANTI3
Sub250k;Stringtie2;120;10;40;0.923076923076923;0.75;Guided;Stringtie2;LSK114_sequins;SQANTI3
Sub250k;Stringtie2-noRef;89;44;71;0.669172932330827;0.55625;De novo;Stringtie2;LSK114_sequins;SQANTI3
Sub2M;Bambu;160;8;0;0.952380952380952;1;Guided;Bambu;LSK114_sequins;SQANTI3
Sub2M;Bambu-noRef;89;46;71;0.659259259259259;0.55625;De novo;Bambu;LSK114_sequins;SQANTI3
Sub2M;Control;138;769639;22;0.000179272698456826;0.8625;RawReads;RawReads;LSK114_sequins;SQANTI3
Sub2M;isONclust;124;293;36;0.297362110311751;0.775;Ab initio;isONclust;LSK114_sequins;SQANTI3
Sub2M;isONclust2;106;37;54;0.741258741258741;0.6625;Ab initio;isONclust2;LSK114_sequins;SQANTI3
Sub2M;isoQuant;140;11;20;0.927152317880795;0.875;Guided;isoQuant;LSK114_sequins;SQANTI3
Sub2M;isoQuant-noRef;89;32;71;0.735537190082645;0.55625;De novo;isoQuant;LSK114_sequins;SQANTI3
Sub2M;Stringtie2;143;17;17;0.89375;0.89375;Guided;Stringtie2;LSK114_sequins;SQANTI3
Sub2M;Stringtie2-noRef;112;84;48;0.571428571428571;0.7;De novo;Stringtie2;LSK114_sequins;SQANTI3
Sub4M;Bambu;160;7;0;0.958083832335329;1;Guided;Bambu;LSK114_sequins;SQANTI3
Sub4M;Bambu-noRef;86;55;74;0.609929078014184;0.5375;De novo;Bambu;LSK114_sequins;SQANTI3
Sub4M;Control;142;1539579;18;0.0000922245004127371;0.8875;RawReads;RawReads;LSK114_sequins;SQANTI3
Sub4M;isONclust;126;414;34;0.233333333333333;0.7875;Ab initio;isONclust;LSK114_sequins;SQANTI3
Sub4M;isONclust2;119;67;41;0.639784946236559;0.74375;Ab initio;isONclust2;LSK114_sequins;SQANTI3
Sub4M;isoQuant;154;19;6;0.890173410404624;0.9625;Guided;isoQuant;LSK114_sequins;SQANTI3
Sub4M;isoQuant-noRef;85;54;75;0.611510791366906;0.53125;De novo;isoQuant;LSK114_sequins;SQANTI3
Sub4M;Stringtie2;149;22;11;0.871345029239766;0.93125;Guided;Stringtie2;LSK114_sequins;SQANTI3
Sub4M;Stringtie2-noRef;116;96;44;0.547169811320755;0.725;De novo;Stringtie2;LSK114_sequins;SQANTI3
Sub500k;Bambu;160;5;0;0.96969696969697;1;Guided;Bambu;LSK114_sequins;SQANTI3
Sub500k;Bambu-noRef;81;37;79;0.686440677966102;0.50625;De novo;Bambu;LSK114_sequins;SQANTI3
Sub500k;Control;123;192769;37;0.000637662526180453;0.76875;RawReads;RawReads;LSK114_sequins;SQANTI3
Sub500k;isONclust;100;22;60;0.819672131147541;0.625;Ab initio;isONclust;LSK114_sequins;SQANTI3
Sub500k;isONclust2;100;22;60;0.819672131147541;0.625;Ab initio;isONclust2;LSK114_sequins;SQANTI3
Sub500k;isoQuant;131;8;29;0.942446043165468;0.81875;Guided;isoQuant;LSK114_sequins;SQANTI3
Sub500k;isoQuant-noRef;76;24;84;0.76;0.475;De novo;isoQuant;LSK114_sequins;SQANTI3
Sub500k;Stringtie2;126;15;34;0.893617021276596;0.7875;Guided;Stringtie2;LSK114_sequins;SQANTI3
Sub500k;Stringtie2-noRef;97;59;63;0.621794871794872;0.60625;De novo;Stringtie2;LSK114_sequins;SQANTI3
Sub50k;Bambu;160;0;0;1;1;Guided;Bambu;LSK114_sequins;SQANTI3
Sub50k;Bambu-noRef;72;13;88;0.847058823529412;0.45;De novo;Bambu;LSK114_sequins;SQANTI3
Sub50k;Control;98;19173;62;0.0050853614239012;0.6125;RawReads;RawReads;LSK114_sequins;SQANTI3
Sub50k;isONclust;75;58;85;0.56390977443609;0.46875;Ab initio;isONclust;LSK114_sequins;SQANTI3
Sub50k;isONclust2;62;23;98;0.729411764705882;0.3875;Ab initio;isONclust2;LSK114_sequins;SQANTI3
Sub50k;isoQuant;105;3;55;0.972222222222222;0.65625;Guided;isoQuant;LSK114_sequins;SQANTI3
Sub50k;isoQuant-noRef;59;11;101;0.842857142857143;0.36875;De novo;isoQuant;LSK114_sequins;SQANTI3
Sub50k;Stringtie2;103;9;57;0.919642857142857;0.64375;Guided;Stringtie2;LSK114_sequins;SQANTI3
Sub50k;Stringtie2-noRef;76;32;84;0.703703703703704;0.475;De novo;Stringtie2;LSK114_sequins;SQANTI3
